video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
i8R-u3ASN0Q,Hindustan Times,UCm7lHFkt2yB_WzL67aruVBQ,1636405017.0,Nitin Gadkari on Modi govt’s electric vehicles plan: &#39;Cost of EVs at par with petrol variants in...&#39;,Union transport minister Nitin Gadkari laid out Modi government's plan for electric vehicles in India. The minister said cost of EVs ...,,https://i.ytimg.com/vi/i8R-u3ASN0Q/hqdefault.jpg,2023-12-02 21:46:47.019693
p1hU2uXXKPU,Gujju Knowledge,UCe30YmXPfgEAKecX0Ywokrg,1624712443.0,electric vehicle policy gujarat | EV policy| ઇલેક્ટ્રીક વ્હીકલ પોલીસી| વાહન પર સબસીડી |,JP Latest Info ================================ Background Music Credit : Aretes Kevin MacLeod (incompetech.com) ...,,https://i.ytimg.com/vi/p1hU2uXXKPU/hqdefault.jpg,2023-12-02 21:46:47.019723
AlgURdwpDj4,EV Radar,UClM8P9i6aq6YrPvgYdhv9eg,1630578848.0,"Odisha EV Policy 2021 - ₹1,00,000 Subsidy, 100% Interest Free Loans Electric Bikes &amp; Cars ➡ JustEV",Latest EV's in India - https://justev.info SUBSCRIBE JustEV Hindi - https://bit.ly/JustEVhin & English https://bit.ly/JustEVeng Follow ...,,https://i.ytimg.com/vi/AlgURdwpDj4/hqdefault.jpg,2023-12-02 21:46:47.019752
Y_6slaEcqd8,SINGH AUTO ZONE,UCVnLR-qs-iU_3qdJV9Wju6A,1609610967.0,EV पॉलिसी का सबसे ज्यादा फायदा किसको मिला ? || EV POLICY 2021 ||  EV NEWS 2021 || SINGH AUTO ZONE ||,"Welcome to SINGH AUTO ZONE, in this YouTube channel we share Latest Electric Vehicle news and updates along with latest ...",,https://i.ytimg.com/vi/Y_6slaEcqd8/hqdefault.jpg,2023-12-02 21:46:47.019782
IcbRz3uxjUw,Money Purse { మనీ పర్స్ },UChBT5TlUeG68PKvJSg6MkqQ,1626278541.0,4:1 Bonus shares update| ITC Annual Report Highlights | Maharashtra EV Policy ఏ Stocks కి లాభం| Cams,Links to Open Demat & Trading Account with Leading stock brokers in India: Fyers (Life time free offer valid till july 31st) ...,,https://i.ytimg.com/vi/IcbRz3uxjUw/hqdefault.jpg,2023-12-02 21:46:47.019811
7tzyttsurgM,EV Radar,UClM8P9i6aq6YrPvgYdhv9eg,1625134253.0,Gujarat Electric Vehicle Policy 2021 - Upto ₹3 Lakh Subsidy on EV Bikes &amp; Cars ➡ JustEV,Latest EV's in India - https://justev.info #Gujarat is the latest state to announce its new #EV policy for the next four years.,,https://i.ytimg.com/vi/7tzyttsurgM/hqdefault.jpg,2023-12-02 21:46:47.019841
lzMk4To-WtA,Owl WiS,UCgYM5-3Q0oZ38XBYlgbc4JQ,1638183625.0,"Indian states electric vehicle policy | Meghalaya, Assam, West Bengal EV policy","Hi everyone!! In order to encourage people to buy electric vehicles, along with government of India, the state governments have ...",,https://i.ytimg.com/vi/lzMk4To-WtA/hqdefault.jpg,2023-12-02 21:46:47.019871
_LWmC9C_OOs,993 jordon,UCRuSM25B4vwbVJs4HjnR34w,1614617208.0,American new EV policy create new opportunities for Chinese electric motor makers,,,https://i.ytimg.com/vi/_LWmC9C_OOs/hqdefault.jpg,2023-12-02 21:46:47.019901
O2BCDJ9xkXs,Delhi Government,UC2mHUT1O3q_oIG0QqLqe1Zg,1636471814.0,Electric Vehicle Policy को बढ़ावा देने के लिए Delhi Govt लायी बड़ी Scheme,Electric Vehicle Policy को बढ़ावा देने के लिए Delhi Govt लायी बड़ी Scheme ...,,https://i.ytimg.com/vi/O2BCDJ9xkXs/hqdefault.jpg,2023-12-02 21:46:47.019932
u-lb671iCDU,Navbharat Times नवभारत टाइम्स,UCl8wUKzoUVzg7U6ky1ZR8hQ,1638359801.0,Himachal Cabinet Approves Draft Electric Vehicle Policy: हिमाचल में ई-व्हीकल पॉलिसी को मंजूरी | NBT,Himachal Cabinet Approves Draft Electric Vehicle Policy: हिमाचल में ई-व्हीकल पॉलिसी को मंजूरी ...,,https://i.ytimg.com/vi/u-lb671iCDU/hqdefault.jpg,2023-12-02 21:46:47.019962
