video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
QzZR2DcLcQo,EVBox,UCxch2CGz8QT9fGT7Sr70gRg,1593181923.0,EVBox Webinars | EV policies: What&#39;s happening in Europe?,Europe needs to massively scale up electric vehicle (EV) charging points to support the EU's Green Deal goal of becoming ...,,https://i.ytimg.com/vi/QzZR2DcLcQo/hqdefault.jpg,2023-12-02 20:53:18.408200
N4X76Rg8K4M,RenewEconomy,UCS8pZonNleCqO_W3xO62kFQ,1601486494.0,Webinar: The EV Transition -  Policy &amp; Practice,"The Driven held the first in a series of webinars to discuss the global transition to electric vehicles. The Driven's Editor, Giles ...",,https://i.ytimg.com/vi/N4X76Rg8K4M/hqdefault.jpg,2023-12-02 20:53:18.408253
RVNzfXuExo0,Electrification Coalition,UC6KkTqbgXRvgZnh0VC3FXNw,1601490932.0,Pennsylvania EV Policy Bootcamp,"The Pennsylvania EV Policy Bootcamp held by the Electrification Coalition on August 6, 2020.",,https://i.ytimg.com/vi/RVNzfXuExo0/hqdefault.jpg,2023-12-02 20:53:18.408299
Q7AM_nFLcac,Electrification Coalition,UC6KkTqbgXRvgZnh0VC3FXNw,1602528881.0,Michigan EV Policy Bootcamp,"The Michigan EV Policy Bootcamp held by the Electrification Coalition on October 9, 2020.",,https://i.ytimg.com/vi/Q7AM_nFLcac/hqdefault.jpg,2023-12-02 20:53:18.408341
5Z4eoOETl_E,Electrification Coalition,UC6KkTqbgXRvgZnh0VC3FXNw,1607715034.0,Nevada EV Policy Bootcamp,"The Nevada EV Policy Bootcamp held by the Electrification Coalition on December 9, 2020.",,https://i.ytimg.com/vi/5Z4eoOETl_E/hqdefault.jpg,2023-12-02 20:53:18.408383
IUeAV4BTEds,Electrification Coalition,UC6KkTqbgXRvgZnh0VC3FXNw,1601490920.0,Virginia EV Policy Bootcamp,"The Virginia EV Policy Bootcamp held by the Electrification Coalition on September 24, 2020.",,https://i.ytimg.com/vi/IUeAV4BTEds/hqdefault.jpg,2023-12-02 20:53:18.408425
kt8oKHn7LVM,Electrification Coalition,UC6KkTqbgXRvgZnh0VC3FXNw,1601490924.0,North Carolina EV Policy Bootcamp,"The North Carolina EV Policy Bootcamp held by the Electrification Coalition on September 16, 2020.",,https://i.ytimg.com/vi/kt8oKHn7LVM/hqdefault.jpg,2023-12-02 20:53:18.408465
uZ4Pg9RKEIA,Plug In America,UC6sseeVPGRcTHOHbjIHaxQg,1602044126.0,Electric Vehicle Policy: USA/Global,Join us to learn about federal policies and incentives that help grow the electric vehicle (EV) market in the United States. Then ...,,https://i.ytimg.com/vi/uZ4Pg9RKEIA/hqdefault.jpg,2023-12-02 20:53:18.408508
MPWAd8mFx2g,Daniel Hilson,UC9PiUUNZj8EGtBZtJW8ASjg,1592027537.0,Lessons from a leader: EV policy in Norway,Charge Together Fleets http://www.chargetogether.com brings you ChargedUP webinars hosted by Daniel Hilson CEO and ...,,https://i.ytimg.com/vi/MPWAd8mFx2g/hqdefault.jpg,2023-12-02 20:53:18.408549
YDhPs1mx1Q0,Daniel Hilson,UC9PiUUNZj8EGtBZtJW8ASjg,1589187517.0,EV Policy in Australia - the year ahead: Electric Vehicle Council and Tesla,Hosted by Daniel Hilson CEO and Founder of Evenergi. About this Event Behyad Jafari is the CEO of the Electric Vehicle Council ...,,https://i.ytimg.com/vi/YDhPs1mx1Q0/hqdefault.jpg,2023-12-02 20:53:18.408590
7z3iMPsM_ro,Pakilinks News,UCBQsZhoMwniLOCrBZmDkp2Q,1592054591.0,Pakistan Introduce 1st Electric Vehicle Policy | Cars | Electric Car In Pakistan |Electric Cars 2020,Pakistan Introduce 1st Electric Vehicle Policy | Cars | Electric Car In Pakistan |Electric Cars 2020 Join Us On Facebook ...,,https://i.ytimg.com/vi/7z3iMPsM_ro/hqdefault.jpg,2023-12-02 20:53:18.408630
fCp_8i9YZbE,UnEarthLive,UCW2vb3G9NX33UkcNUuF245g,1597337384.0,Delhi Goes Electric With Government&#39;s Revolutionary EV Policy | UnEarth,"Delhi government's Electric Vehicle policy is revolutionary. E-autos, e-buses and even electric two-wheeler taxis - Chief Minister ...",,https://i.ytimg.com/vi/fCp_8i9YZbE/hqdefault.jpg,2023-12-02 20:53:18.408671
AoinNC4Vw-c,StudyIQ IAS,UCrC8mOqJQpoB7NuIMKIS6rQ,1597305281.0,"Electric Vehicle policy of Delhi Government, Incentives of up to ₹1.5 lakh on EVs #UPSC #IAS",Enrol to StudyIQ's Flagship UPSC IAS (Pre + Mains) LIVE Foundation Batch 9. Admissions closing on 10 DEC'22 | Enrol now ...,,https://i.ytimg.com/vi/AoinNC4Vw-c/hqdefault.jpg,2023-12-02 20:53:18.408710
Ybxz5sfszDU,Electric Vehicles India,UC_ebLnatS9Fje8LhydkCqOg,1597165500.0,No Road Tax &amp; Registration Fee - Telangana EV Policy 2020,"Telangana EV Policy 2020 complete details. No road tax & Registration fee for Electric vehicles in Telangana, India. The state ...",,https://i.ytimg.com/vi/Ybxz5sfszDU/hqdefault.jpg,2023-12-02 20:53:18.408750
EYftc09n_x4,Aam Aadmi Party,UCguJ7EOi-qn4ygQW4TFeS2A,1601922226.0,"Electric Vehicle Policy: Delhi Govt का बड़ा फैसला, CM Arvind Kejriwal ने की E-Vehicle Policy लॉन्च",EVehiclePolicy #ElectricVehiclePolicy #ArvindKejriwal #DelhiModel Arvind Kejriwal Super Exclusive Latest Interview on ...,,https://i.ytimg.com/vi/EYftc09n_x4/hqdefault.jpg,2023-12-02 20:53:18.408791
32NQJMl6Hyg,EVBox,UCxch2CGz8QT9fGT7Sr70gRg,1593692864.0,EVBox Webinars | EV policies: What&#39;s happening in North America?,Investments in electric vehicle charging infrastructure are critical to boosting electric vehicle adoption rates in the United States.,,https://i.ytimg.com/vi/32NQJMl6Hyg/hqdefault.jpg,2023-12-02 20:53:18.408832
0ag8kkYRwiw,SAWARI - ELITE INDUSTRY,UCmVWRU1zIWSvijT83OK0uHA,1582194335.0,Gov&#39;t EV policy,We are a Manufacturing factory and we have our factory outlets name as BHAI JAN AUTOS. We sell products on dealers cost.,,https://i.ytimg.com/vi/0ag8kkYRwiw/hqdefault.jpg,2023-12-02 20:53:18.408872
p_VhUCzNNU0,Electric Vehicles India,UC_ebLnatS9Fje8LhydkCqOg,1602534963.0,"Amazon Electric Van, Delhi EV Policy, Kerala Charging Station - EV News 115",Electric vehicles news today To know the latest information about Electric vehicles Visit : https://electricvehicles.in/ ********* Join ...,,https://i.ytimg.com/vi/p_VhUCzNNU0/hqdefault.jpg,2023-12-02 20:53:18.408913
a1rxWZ3NNSQ,PluginIndia Electric Vehicles,UCWjHDFIZoWIaHqnCT8M4lnQ,1599156133.0,Delhi EV Policy : The Electric Vehicle Capital of India? | PluginIndia Show #13,"We start the new episode of The PluginIndia Show, by discussing the happenings in the Indian EV World for August 2020 Here ...",,https://i.ytimg.com/vi/a1rxWZ3NNSQ/hqdefault.jpg,2023-12-02 20:53:18.408954
