video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
lbUZZxXx5B4,CNBC Television,UCrp_UI8XtuYfpiqluWLD7Lw,1661474831.0,"We&#39;re at a tipping point in EV policy, says former Ford CEO Mark Fields","Mark Fields, former Ford CEO, joins 'Closing Bell' to discuss California's upcoming vote to implement new EV laws, and price ...",,https://i.ytimg.com/vi/lbUZZxXx5B4/hqdefault.jpg,2023-12-02 20:48:22.044152
BwC7uRcnC6g,Business Standard,UCQsob4fGjHWhYHW0OLb6rew,1652419860.0,Will India&#39;s policies help it win the EV race?,Ford scrapped its EV plans in India. Tesla is also exploring options in Indonesia after a haggling with India over duties and tariffs.,,https://i.ytimg.com/vi/BwC7uRcnC6g/hqdefault.jpg,2023-12-02 20:48:22.044203
_UDhyZIwtq0,Electrification Coalition,UC6KkTqbgXRvgZnh0VC3FXNw,1669941170.0,BEYOND RED AND BLUE: EV POLICY IN 2023,The Electrification Coalition joined the ZETA Education Fund for a nonpartisan recap of 2022's EV policy developments and major ...,,https://i.ytimg.com/vi/_UDhyZIwtq0/hqdefault.jpg,2023-12-02 20:48:22.044243
cpKBoBD-XFI,Forth,UC0Rw2E97syLlDPwwc7bRQDA,1645588181.0,Federal EV Policy - What&#39;s Coming Next!,"Moderator Chris Rall, Outreach Director at Transportation for America joined panelists Chris Bast, EV Infrastructure Investments ...",,https://i.ytimg.com/vi/cpKBoBD-XFI/hqdefault.jpg,2023-12-02 20:48:22.044279
Y9UjeZBOirE,Labour Law Advisor,UCVOTBwF0vnSxMRIbfSE_K_g,1643573286.0,Are EVs really better than conventional cars? #LLAShorts 153,Peer-Reviewed Life Cycle Study comparing carbon emissions between EVs and Internal Combustion Engine Cars: ...,,https://i.ytimg.com/vi/Y9UjeZBOirE/hqdefault.jpg,2023-12-02 20:48:22.044313
Qu_-SBZgWBc,Living Electric Podcast,UCNCUpAPjo_2-qpOsH7C9-1w,1671481805.0,How to start influencing EV policy!,Clip from Ep. 67: https://youtu.be/1DwtN70vXPc Living Electric Merch is here!,,https://i.ytimg.com/vi/Qu_-SBZgWBc/hqdefault.jpg,2023-12-02 20:48:22.044348
FGhqfrxoHZ0,HT Auto,UCxd68NZh_nR8pfKbSYJ4Mhg,1667467802.0,India&#39;s EV Infrastructure Explained | All Things EV | HT Auto,One of the most important aspects of promoting EV use is developing the infrastructure that supports it. In this video let's take a ...,,https://i.ytimg.com/vi/FGhqfrxoHZ0/hqdefault.jpg,2023-12-02 20:48:22.044381
avi9iBC8opU,Forbes Breaking News,UCg40OxZ1GYh3u3jBntB6DLg,1658264401.0,&#39;Which Uses More Electricity...A Refrigerator When It&#39;s Running Or Electric Car When It&#39;s Charging?&#39;,"At today's House Transportation Committee hearing, Rep. Thomas Massie (R-KY) questioned Sec. Pete Buttigieg.",,https://i.ytimg.com/vi/avi9iBC8opU/hqdefault.jpg,2023-12-02 20:48:22.044415
a8wRPJEgav0,Consumer Complaint “consumer court”,UCwm_JPIgO0Qu9ctFA13_oRw,1669925694.0,EV Charging point in cooperative housing society,Housing society have to mandatorily issue NOC to its member who wants to install an EV charging point for his electric vehicle.,,https://i.ytimg.com/vi/a8wRPJEgav0/hqdefault.jpg,2023-12-02 20:48:22.044449
J59XCp6RFvw,Dr Sophie Scamps,UCpalg5n5H6KuG7SazMKdQEg,1662610968.0,It&#39;s time to put our foot down and accelerate EV policy,My speech to the Federation Chamber in Parliament on why we need to fast track EV policy in Australia.,,https://i.ytimg.com/vi/J59XCp6RFvw/hqdefault.jpg,2023-12-02 20:48:22.044482
